anime_id,name,genre,type,episodes,rating,members,description
457,Mushishi,"Adventure, Fantasy, Historical, Mystery, Seinen, Slice of Life, Supernatural",TV,26,8.78,300030,"{{Series
|demographic=Seinen
|genre=Adventure, Fantasy, Mystery, Supernatural
|tag=Historical
|media=Anime, Manga, OVA, Film, Live Action, Game
|wiki=mushi-shi
|wiki name=Mushi-Shi Wiki
|image=File:Mushishi.jpg
|foundingdate=February 24, 2014
|pagecount=130
|datechecked=May 6, 2021
|animangafooter=No
|animanganavlink=No
|adoptable=No
}}
'''Mushishi''' (蟲師) is a [[seinen]] [[anime]] and [[manga]] series. The manga consists of ten volumes and the first season of the anime series cover the first fi"
2001,Tengen Toppa Gurren Lagann,"Action, Adventure, Comedy, Mecha, Sci-Fi",TV,27,8.78,562962,"{{Series
|genre=Action, Adventure, Comedy, Drama, Mecha
|media=Anime, Manga, Light Novel, Film, Game, Guide Book
|wiki=gurrenlagann
|wiki name=Tengen Toppa Gurren Lagann Wiki
|image=File:Gurren Lagann.png
|foundingdate=October 3, 2008
|pagecount=186
|datechecked=May 5, 2021
|animangafooter=Yes
|animanganavlink=No
|adoptable=Yes
}}
'''Gurren Lagann''', known in Japan as '''Tengen Toppa Gurren Lagann''' (天元突破グレンラガン, ''Tengen Toppa Guren Ragan'', literally ""Heaven-Piercing Gurren Lagann""), is a Jap"
245,Great Teacher Onizuka,"Comedy, Drama, School, Shounen, Slice of Life",TV,43,8.77,268487,"{{Series
|demographic=Shōnen,
|genre=Action, Comedy, Drama
|tag=Delinquent, School
|media=Anime, Manga, Live Action, TV drama
|wiki=great-teacher-onizuka-gto
|wiki name=Great Teacher Onizuka (GTO) Wiki
|image=File:Great Teacher Onizuka.png
|foundingdate=August 8, 2009
|pagecount=308
|datechecked=May 5, 2021
|animangafooter=Yes
|animanganavlink=No
|adoptable=No
}}
{{translation|'''Great Teacher Onizuka'''|グレート・ティーチャー・オニヅカ|Gurēto Tīchā Onizuka}} or abbrieviated as '''G.T.O''' is a Japanese [[manga"
32983,Natsume Yuujinchou Go,"Drama, Fantasy, Shoujo, Slice of Life, Supernatural",TV,13,8.76,38865,#REDIRECT [[Natsume's Book of Friends]]
5258,Hajime no Ippo: New Challenger,"Comedy, Drama, Shounen, Sports",TV,26,8.75,88995,
28957,Mushishi Zoku Shou: Suzu no Shizuku,"Adventure, Fantasy, Historical, Mystery, Seinen, Slice of Life, Supernatural",Movie,1,8.75,32266,
11665,Natsume Yuujinchou Shi,"Drama, Fantasy, Shoujo, Slice of Life, Supernatural",TV,13,8.75,98431,#REDIRECT [[Natsume's Book of Friends]]
431,Howl no Ugoku Shiro,"Adventure, Drama, Fantasy, Romance",Movie,1,8.74,333186,#REDIRECT [[Howl's Moving Castle]]
11741,Fate/Zero 2nd Season,"Action, Fantasy, Supernatural, Thriller",TV,12,8.73,340973,
31757,Kizumonogatari II: Nekketsu-hen,"Action, Mystery, Supernatural, Vampire",Movie,1,8.73,34347,
19,Monster,"Drama, Horror, Mystery, Police, Psychological, Seinen, Thriller",TV,74,8.72,247562,"{{Series
|demographic=Seinen
|genre=Drama, Horror, Mystery, Psychological, 
|tag= Tragedy, Suspense, Thriller, Crime, Mature, Medical
|media=Anime, Manga, Novel
|wiki=Obluda
|wiki name=Monster Wiki
|image=File:Monster.png
|foundingdate=November 9, 2012
|pagecount=165
|datechecked=May 5, 2021
|animangafooter=No
|animanganavlink=No
|adoptable=Yes
}}
{{translation|'''Monster'''|モンスター|Monsutā}} is a [[seinen]] [[manga]] written and illustrated by [[Naoki Urasawa]], published by [[Shogakukan]] in [[B"
12365,Bakuman. 3rd Season,"Comedy, Drama, Romance, Shounen",TV,25,8.71,133620,
1535,Death Note,"Mystery, Police, Psychological, Supernatural, Thriller",TV,37,8.71,1013917,"{{Series
|genre=Mystery, Psychological, Supernatural
|tag=Shinigami, Thriller, Antihero
|media=Anime, Manga, Light Novel, Novel, Film, Live Action, TV drama, Game, Audio Drama, Guide Book
|wiki=deathnote
|wiki name=Death Note Wiki
|fanon=deathnotefanon
|fanon name=Death Note Fanon Wiki
|image=File:Death_Note.png
|foundingdate=July 31, 2007
|pagecount=608
|datechecked=May 5, 2021
|animangafooter=Yes
|animanganavlink=No
|adoptable=No
}}
{{translation|'''Death Note'''|デスノート|Desu Nōto}} is a Japanes"
32366,Gintama°: Aizome Kaori-hen,"Comedy, Parody",OVA,2,8.69,16947,
30654,Ansatsu Kyoushitsu (TV) 2nd Season,"Action, Comedy, School, Shounen",TV,25,8.68,176475,
20583,Haikyuu!!,"Comedy, Drama, School, Shounen, Sports",TV,25,8.68,284498,"{{Series
|genre=Comedy, Drama, Slice of Life, Sports
|demographic=Shōnen
|tag=Volleyball, Tournament
|media=Anime, Manga, Light Novel, OVA, Film, Guide Book, Game, Audio Drama
|wiki=haikyuu
|wiki name=Haikyū!! Wiki
|fanon=haikyuufanon
|fanon name=Haikyuu!! Fanon Wiki
|image=File:Haikyuu.png
|foundingdate=2012/04/25
|pagecount=1,226
|datechecked=2021/05/05
|animangafooter=Yes
|animanganavlink=Yes
|adoptable=No
}}
'''Haikyū!!''' (ハイキュー!!) is a Japanese [[manga]] about volleyball serialized in [[We"
19647,Hajime no Ippo: Rising,"Comedy, Drama, Shounen, Sports",TV,25,8.68,66756,#REDIRECT [[The First Step]]
4282,Kara no Kyoukai 5: Mujun Rasen,"Action, Drama, Mystery, Romance, Supernatural, Thriller",Movie,1,8.68,111074,
10379,Natsume Yuujinchou San,"Drama, Fantasy, Shoujo, Slice of Life, Supernatural",TV,13,8.67,102322,#REDIRECT [[Natsume's Book of Friends]]
22135,Ping Pong The Animation,"Psychological, Seinen, Sports",TV,11,8.67,97187,"{{Series
|genre=Action, Fantasy, Horror, Supernatural
|media=Anime, Manga, Film, Live Action, TV drama
|wiki=garo
|wiki name=GARO Wiki
|image=File:Garo.jpg
|foundingdate=2009/07/24
|pagecount=644
|datechecked=2021/10/02
|animangafooter=Yes
|animanganavlink=Yes
|adoptable=No
}}
'''Garo: The Animation''' is a Japanese series of [[anime|animated]] entries in the original '''Garo: the Golden Knight''' tokusatsu franchise, created by film and television director Keita Amemiya. The anime is set in the"
21329,Mushishi Special: Hihamukage,"Adventure, Fantasy, Historical, Mystery, Seinen, Slice of Life, Supernatural",Special,1,8.66,49036,
31043,Boku dake ga Inai Machi,"Mystery, Psychological, Seinen, Supernatural",TV,12,8.65,402381,#REDIRECT [[ERASED]]
7785,Yojouhan Shinwa Taikei,"Mystery, Psychological, Romance",TV,11,8.65,122531,#REDIRECT [[The Tatami Galaxy]]
3297,Aria The Origination,"Fantasy, Sci-Fi, Shounen, Slice of Life",TV,13,8.64,56162,"{{Series
|genre=Fantasy, Science Fiction, Slice of Life
|media=Anime, OVA
|wiki=aria
|wiki name=Aria the Animation Wiki
|image=File:Aoi Hana.jpg
|foundingdate=January 6, 2011‎ 
|pagecount=15
|datechecked=Nov 20, 2017
|animangafooter=No
|animanganavlink=No
|adoptable=Yes
}}
{{translation|'''Aria''' (アリア) is a utopian science fantasy [[manga]] by Kozue Amano. The series was originally titled '''Aqua'''|アクア|Akua}} when it was published by Enix in the magazine Monthly Stencil, being retitled when it"
30709,Kamisama Hajimemashita: Kako-hen,"Comedy, Demons, Fantasy, Shoujo, Supernatural",OVA,4,8.64,33422,#REDIRECT [[Kamisama Kiss]]
6114,Rainbow: Nisha Rokubou no Shichinin,"Drama, Historical, Seinen, Thriller",TV,26,8.64,139474,"{{Series
|genre=Drama
|media=Anime, Manga
|wiki=rainbownisharokubnoshichinin
|wiki name=Rainbow: Nisha Rokubō no Shichinin Wiki
|image=File:Rainbow NRnS.png
|foundingdate=March 11, 2011
|pagecount=13
|datechecked=May 5, 2021
|animangafooter=No
|animanganavlink=No
|adoptable=Yes
}}
{{translation|'''Rainbow: Nisha Rokubō no Shichinin'''|RAINBOW 二舎六房の七人|Reinbō: Ni-sha roku bō no nana-nin}}, is a Japanese [[manga]] series written by George Abe and illustrated by Masasumi Kakizaki. It began serializa"
31240,Re:Zero kara Hajimeru Isekai Seikatsu,"Drama, Fantasy, Psychological, Thriller",TV,25,8.64,355839,#REDIRECT [[Re:Zero − Starting Life in Another World]]
4565,Tengen Toppa Gurren Lagann Movie: Lagann-hen,"Action, Mecha, Sci-Fi, Space, Super Power",Movie,1,8.64,82253,"{{Series
|genre=Action, Adventure, Comedy, Drama, Mecha
|media=Anime, Manga, Light Novel, Film, Game, Guide Book
|wiki=gurrenlagann
|wiki name=Tengen Toppa Gurren Lagann Wiki
|image=File:Gurren Lagann.png
|foundingdate=October 3, 2008
|pagecount=186
|datechecked=May 5, 2021
|animangafooter=Yes
|animanganavlink=No
|adoptable=Yes
}}
'''Gurren Lagann''', known in Japan as '''Tengen Toppa Gurren Lagann''' (天元突破グレンラガン, ''Tengen Toppa Guren Ragan'', literally ""Heaven-Piercing Gurren Lagann""), is a Jap"
5300,Zoku Natsume Yuujinchou,"Drama, Fantasy, Shoujo, Slice of Life, Supernatural",TV,13,8.64,114173,#REDIRECT [[Natsume's Book of Friends]]
9989,Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.,"Drama, Slice of Life, Supernatural",TV,11,8.62,463835,#REDIRECT [[Anohana: The Flower We Saw That Day]]
24415,Kuroko no Basket 3rd Season,"Comedy, School, Shounen, Sports",TV,25,8.62,184525,#redirect [[Kuroko's Basketball]]
11577,Steins;Gate Movie: Fuka Ryouiki no Déjà vu,"Sci-Fi, Thriller",Movie,1,8.61,192424,
10408,Hotarubi no Mori e,"Drama, Romance, Shoujo, Supernatural",Movie,1,8.61,197439,#REDIRECT [[Into the Forest of Fireflies' Light]]
28171,Shokugeki no Souma,"Ecchi, School, Shounen",TV,24,8.61,348951,#REDIRECT [[Food Wars!: Shokugeki no Soma]]
32995,Yuri!!! on Ice,"Comedy, Sports",TV,12,8.61,103178,#REDIRECT [[Yuri!!! on Ice]]
21899,Gintama: Yorinuki Gintama-san on Theater 2D,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",Movie,2,8.6,11104,
26055,JoJo no Kimyou na Bouken: Stardust Crusaders 2nd Season,"Action, Adventure, Drama, Shounen, Supernatural",TV,24,8.6,93657,
7472,Gintama Movie: Shinyaku Benizakura-hen,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",Movie,1,8.59,51185,
777,Hellsing Ultimate,"Action, Horror, Military, Seinen, Supernatural, Vampire",OVA,10,8.59,297454,"{{Series
|genre=Comedy, Science Fiction
|tag=Ecchi, Parody
|media=Anime
|image=File:Ultimate Girls.jpg
|animangafooter=No
|animanganavlink=No
|adoptable=No
}}
'''Ultimate Girls''' (UG☆アルティメットガール, ''UG☆Arutimetto Gāru'') is a Japanese [[anime]] series from the production company m.o.e.. It first aired in Japan on January 10, 2005 totaling up to 12 episodes each being 13 minutes. The series has been licensed in North America by [[Media Blasters]].

==Plot==
During a monster attack on the city, whi"
22535,Kiseijuu: Sei no Kakuritsu,"Action, Drama, Horror, Psychological, Sci-Fi, Seinen",TV,24,8.59,425457,
28735,Shouwa Genroku Rakugo Shinjuu,"Drama, Historical, Josei",TV,13,8.59,71295,#REDIRECT [[Descending Stories: Showa Genroku Rakugo Shinju]]
12431,Uchuu Kyoudai,"Comedy, Sci-Fi, Seinen, Slice of Life, Space",TV,99,8.59,72958,#REDIRECT [[Space Brothers]]
28805,Bakemono no Ko,"Adventure, Supernatural",Movie,1,8.58,80825,"{{Series
|demographic=Shōnen
|genre=Action, Adventure, Supernatural
|tag=Martial Arts, Magic
|media=Manga
|image=File:Baramon_no_Kazoku.jpg
|animangafooter=No
|animanganavlink=No
|adoptable=No
}}
'''Baramon no Kazoku''' (瑪羅門の家族, lit. ""Family of Brahman"") is a [[manga]] by Akira Miyashita published in [[Weekly Shōnen Jump]] from 1992 to 1993.

==Plot==
Three thousand years ago, a sect of ancient Indian priests who sought world peace and justice, developed an unimaginably fist and sent their disci"
578,Hotaru no Haka,"Drama, Historical",Movie,1,8.58,174878,#REDIRECT [[Grave of the Fireflies]]
16894,Kuroko no Basket 2nd Season,"Comedy, School, Shounen, Sports",TV,25,8.58,243325,#redirect [[Kuroko's Basketball]]
5028,Major S5,"Comedy, Drama, Romance, Sports",TV,25,8.58,28653,#REDIRECT [[MAJOR]]
21,One Piece,"Action, Adventure, Comedy, Drama, Fantasy, Shounen, Super Power",TV,Unknown,8.58,504862,"{{Series
|genre=Action, Adventure, Comedy
|demographic=Shōnen
|tag=Pirates
|media=Anime, Manga, Manhwa, Novel, OVA, Film, Game
|wiki=onepiece
|wiki name=One Piece Encyclopedia
|fanon=onepiecefanon
|fanon name=One Piece Fanon Wiki
|image=File:One piece.jpg
|foundingdate=2006-02-14
|pagecount=7,326
|datechecked=2024-07-24
|animangafooter=Yes
|animanganavlink=No
|adoptable=No
}}
{{translation|'''One Piece'''|ワンピース|Wan Pīsu}} is a [[manga]] written and illustrated by by [[Eiichirō Oda]]. It has been"
801,Ghost in the Shell: Stand Alone Complex 2nd GIG,"Action, Mecha, Military, Mystery, Police, Sci-Fi, Seinen",TV,26,8.57,113993,
31933,JoJo no Kimyou na Bouken: Diamond wa Kudakenai,"Action, Adventure, Comedy, Drama, Shounen, Supernatural",TV,39,8.57,74074,
5205,Kara no Kyoukai 7: Satsujin Kousatsu (Kou),"Action, Mystery, Romance, Supernatural, Thriller",Movie,1,8.57,95658,
17389,Kingdom 2nd Season,"Action, Historical, Military, Seinen",TV,39,8.57,31234,
170,Slam Dunk,"Comedy, Drama, School, Shounen, Sports",TV,101,8.56,82570,"{{Series
|genre=Comedy, Drama, Sports
|tag=Basketball, Tournament,
|media=Anime, Manga, Film
|wiki=slamdunk
|wiki name=Slam Dunk Wiki
|image=File:Slam Dunk.png
|foundingdate=December 15, 2009
|pagecount=421
|datechecked=May 5, 2021
|animangafooter=Yes
|animanganavlink=No
|adoptable=No
}}
{{translation|'''Slam Dunk'''|スラムダンク|Suramu Danku}} is a sports-themed [[manga]] series written by Takehiko Inoue. It was first serialized in [[Shueisha]]'s [[Weekly Shōnen Jump]] in Japan from 1990 to 1996 and"
10162,Usagi Drop,"Josei, Slice of Life",TV,11,8.56,194855,"{{Series
|demographic=Josei
|genre=Comedy, Drama, 
|tag=Childcare
|media=Anime, Manga, Film, Live Action
|wiki=usagidrop
|wiki name=Usagi drop Wiki
|image=File:Usagi Drop.png
|pagecount=30
|datechecked=July 12, 2017
|animangafooter=Yes
|animanganavlink=No
|adoptable=No
}}
{{translation|'''Bunny Drop'''|うさぎドロップ|Usagi Doroppu}} is a Japanese [[josei]] [[manga]] series by Yumi Unita. It was serialized in the monthly magazine Feel Young from October 2005 to April 2011 and the chapters were collected"
18617,Girls und Panzer der Film,"Military, School",Movie,1,8.55,25641,"{{Series
|genre=Action, Comedy, Sports
|tag=School, Alternate History, Military, Joshikousei
|media=Anime, Manga, OVA, Film, Guide Book
|wiki=GuP
|wiki name=Girls und Panzer Wiki
|image=File:Girls und Panzer.jpg
|foundingdate=October 12, 2012
|pagecount=573
|datechecked=May 5, 2021
|animangafooter=Yes
|animanganavlink=Yes
|adoptable=No
}}
{{translation|'''Girls und Panzer'''|ガールズ＆パンツァー|Gāruzu ando Pantsā}} is a 2012 Japanese original television [[anime]] series created by Actas. The animation is"
32182,Mob Psycho 100,"Action, Comedy, Slice of Life, Supernatural",TV,12,8.55,193716,"{{Series
|demographic=Shōnen,
|genre=Action, Comedy, Psychological, Supernatural
|tag=School Life, Psychic
|media=Anime, Manga, Live Action
|wiki=mob-psycho-100
|wiki name=Mob Psycho 100 Wiki
|image=File:Mob Psycho 100.jpg
|foundingdate=January 27, 2014
|pagecount=383
|datechecked=May 7, 2021
|animangafooter=Yes
|animanganavlink=Yes
|adoptable=No
}}
{{translation|'''Mob Psycho 100'''|モブサイコ100|Mobu Saiko Hyaku}} is a Japanese webcomic created by ONE, which began publication on Ura Sunday on April"
877,Nana,"Comedy, Drama, Music, Romance, Shoujo, Slice of Life",TV,47,8.55,197256,"{{Stub}}
{{Series
|image=File:Nana.png
|demographic=Shōjo
|genre=Comedy, Drama, Romance, Slice of Life
|media=Anime, Manga, Film, Live Action, Game
|tag=Love Triangle
|wiki=nana
|wiki name=Nana Wiki
|foundingdate=January 14, 2009
|pagecount=282
|datechecked=May 7, 2021
|animangafooter=Yes
|animanganavlink=No
|adoptable=No
}}
{{translation|'''Nana'''|ナナ}}, usually stylized as '''NANA''', is a Japanese [[shōjo]] [[manga]] series written and illustrated by Ai Yazawa, serialized in ''Cookie'' publis"
2251,Baccano!,"Action, Comedy, Historical, Mystery, Seinen, Supernatural",TV,13,8.54,363215,"{{Series
|demographic=Shōnen, Seinen
|genre=Adventure, Comedy, Fantasy
|tag=Alchemy, Gangs, Violence
|media=Anime, Manga, Light Novel, Audio Drama
|wiki=baccano
|wiki name=Baccano! Wiki
|image=File:Baccano.png
|foundingdate=September 30, 2009
|pagecount=505
|datechecked=May 5, 2021
|animangafooter=No
|animanganavlink=No
|adoptable=No.
}}
'''Baccano!''' (バッカーノ！) is a Japanese [[light novel]] series written by [[Ryohgo Narita]] and illustrated by Katsumi Enami. The first novel, ''The Rolling Bootl"
24687,Mushishi Zoku Shou: Odoro no Michi,"Adventure, Fantasy, Historical, Mystery, Seinen, Slice of Life, Supernatural",Special,1,8.54,34011,
16498,Shingeki no Kyojin,"Action, Drama, Fantasy, Shounen, Super Power",TV,25,8.54,896229,#REDIRECT [[Attack on Titan]]
10030,Bakuman. 2nd Season,"Comedy, Drama, Romance, Shounen",TV,25,8.53,151561,
5941,Cross Game,"Comedy, Drama, Romance, School, Sports",TV,50,8.53,53108,"{{Series
|genre=Comedy, Drama, Romance, Slice of Life, Sports
|tag=School, Baseball
|media=Anime, Manga
|wiki=cross-game
|wiki name=Cross Game Wiki
|image=File:Cross Game.jpg
|pagecount=507
|datechecked=June 13th 2021
|animangafooter=Yes
|animanganavlink=No
|adoptable=No
|demographic = }}
'''Cross Game''' (クロスゲーム, ''Kurosu Gēmu'') is a [[manga]] series by Mitsuru Adachi that was serialized by [[Shogakukan]] in [[Weekly Shōnen Sunday]] between May 11, 2005 (issue 22/23) and February 17, 2010 (iss"
30346,Doukyuusei (Movie),"Romance, School, Shounen Ai, Slice of Life",Movie,1,8.53,28864,
3784,Evangelion: 2.0 You Can (Not) Advance,"Action, Mecha, Sci-Fi",Movie,1,8.53,182224,
13125,Shinsekai yori,"Drama, Horror, Mystery, Sci-Fi, Supernatural",TV,25,8.53,288376,#REDIRECT [[From the New World]]
12029,Uchuu Senkan Yamato 2199,"Action, Drama, Military, Sci-Fi, Space",OVA,26,8.53,44223,
14397,Chihayafuru 2,"Drama, Game, Josei, Slice of Life, Sports",TV,25,8.52,86074,"{{Series
|demographic=Josei
|genre=Drama, Romance, Sports, Slice of Life
|tag=School Life, Love Triangle
|media=Anime, Manga, Light Novel, Film, Live Action, Guide Book
|wiki=chihayafuru
|wiki name=Chihayafuru Wiki
|image=File:Chihayafuru_Anime.jpg
|foundingdate=October 15, 2011
|pagecount=624
|datechecked=February 06, 2021
|animangafooter=Yes
|animanganavlink=Yes
|adoptable=No
}}
'''Chihayafuru''' (ちはやふる) is a [[manga]] series written and illustrated by Yuki Suetsugu, serialized in Be Love and"
10087,Fate/Zero,"Action, Fantasy, Supernatural",TV,13,8.51,453630,#REDIRECT [[Fate/Zero]]
14719,JoJo no Kimyou na Bouken (TV),"Action, Adventure, Shounen, Supernatural, Vampire",TV,26,8.51,190197,
9756,Mahou Shoujo Madoka★Magica,"Drama, Magic, Psychological, Thriller",TV,12,8.51,462974,#REDIRECT [[Puella Magi Madoka Magica]]
10165,Nichijou,"Comedy, School, Slice of Life",TV,26,8.52,254436,#REDIRECT [[My Ordinary Life]]
13601,Psycho-Pass,"Action, Police, Psychological, Sci-Fi",TV,22,8.5,509109,"{{Series
|demographic= Shōnen
|genre=Action, Drama, Mystery, Psychological, Science Fiction,
|tag=Tragedy, Dystopia, Cyberpunk, Violence, Tech-noir, Police
|media=Anime, Manga, Light Novel, Visual Novel, Film, Game, Guide Book
|wiki=psychopass
|wiki name=Psycho-Pass Wiki
|image=File:Psycho-pass.jpg
|foundingdate=August 29, 2012
|pagecount=445
|datechecked=May 6, 2021
|animangafooter=Yes
|animanganavlink=No
|adoptable=No
}}
{{translation|'''PSYCHO-PASS'''|サイコパス|Saiko Pasu}} is a Japanese [[anime]"
22789,Barakamon,"Comedy, Slice of Life",TV,12,8.5,225927,"{{Series
|genre=Comedy, Slice of Life
|media=Anime, Manga, Guide Book
|wiki=barakamon
|wiki name=Barakamon Wiki
|image=File:59321l.jpg
|foundingdate=June 1, 2014
|pagecount=83
|datechecked=May 5, 2021
|animangafooter=No
|animanganavlink=No
|adoptable=No
}}
{{translation|'''Barakamon'''|ばらかもん|Barakamon}} is a [[manga]] written and illustrated by Satsuki Yoshino. It is serialized in Square Enix's [[Gangan Online]]. An [[anime]] adaption began airing on July 6, 2014 and ended on September 27, 2014."
30230,Diamond no Ace: Second Season,"Comedy, School, Shounen, Sports",TV,51,8.5,38531,
18115,Magi: The Kingdom of Magic,"Action, Adventure, Fantasy, Magic, Shounen",TV,25,8.5,245026,
11981,Mahou Shoujo Madoka★Magica Movie 3: Hangyaku no Monogatari,"Drama, Magic, Psychological, Thriller",Movie,1,8.5,135735,
